command,label
包含 了 怎样 的 情感,5.0
有 什么 情感,5.0
感觉 怎么样,5.0
有 什么 情感,5.0
有 什么 情感,5.0
有 什么 感情,5.0
什么 感情,5.0
什么 感情,5.0
什么 感情,5.0
什么 感情,5.0
有 什么 感情,5.0
包含 了 什么 感情,5.0
感情,5.0
情感,5.0
心情,5.0
什么 心情,5.0
心情 是 什么,5.0
这 里面 有 什么 心情,5.0
感情 分析,5.0
情感 分析,5.0
纠错,8.0
把 句子 纠错,8.0
将 句子 纠错,8.0
看看 句子 有没有 错,8.0
纠错 一下 句子,8.0
对 文本 进行 纠错,8.0
纠正 文本 中 的 错误,8.0
纠正错误,8.0
两个 图片 相加,6.0
两个 相加,6.0
图片 相加,6.0
图片 加,6.0
两个 图片 加,6.0
两个 图片 相减,6.1
两个 相减,6.1
图片 相减,6.1
图片 减,6.1
两个 图片 减,6.1
两个 图片 相乘,6.2
两个 相乘,6.2
图片 相乘,6.2
图片 乘,6.2
两个 图片 乘,6.2
两个 图片 相除,6.3
两个 相除,6.3
图片 相除,6.3
图片 除,6.3
两个 图片 除,6.3
两个 图片 相与,6.4
两个 相与,6.4
图片 相与,6.4
图片 与,6.4
与 运算,6.4
与 运算,6.4
与 运算,6.4
与 运算,6.4
两个 图片 与,6.4
两个 图片 相 或,6.5
或 运算,6.5
或 运算,6.5
或 运算,6.5
或 运算,6.5
两个 相 或,6.5
图片 相 或,6.5
图片 相 或,6.5
图片 相 或,6.5
图片 或,6.5
图片 相 或,6.5
图片 相 或,6.5
图片 或,6.5
图片 或,6.5
图片 或,6.5
图片 或,6.5
两个 图片 或,6.5
图片 非,6.6
非,6.6
非,6.6
非,6.6
非,6.6
非,6.6
非,6.6
非,6.6
非 运算,6.6
非 运算,6.6
非 运算,6.6
非 运算,6.6
非 运算,6.6
非 运算,6.6
图片 非,6.6
图片 非,6.6
图片 非,6.6
图片 非,6.6
两个 图片 相异 或,6.7
异或,6.7
异或,6.7
异或,6.7
异或,6.7
两个 相异 或,6.7
图片 相异 或,6.7
图片 异或,6.7
两个 图片 异或,6.7
图片 平移,6.8
平移,6.8
照片 平移,6.8
平移,6.8
平移,6.8
平移,6.8
平移,6.8
图片 旋转,6.9
旋转,6.9
照片 旋转,6.9
旋转,6.9
旋转,6.9
旋转,6.9
旋转,6.9
图片 缩放,7.0
图片 缩放,7.0
图片 缩放,7.0
图片 缩放,7.0
缩放,7.0
照片 缩放,7.0
缩放,7.0
缩 放到 原来,7.0
缩 放到 原图,7.0
缩 放到,7.0
缩放,7.0
缩放,7.0
缩放,7.0
图片 翻转,7.1
翻转,7.1
照片 翻转,7.1
翻转,7.1
翻转,7.1
翻转,7.1
翻转,7.1
图片 剪切,7.2
剪切,7.2
照片 剪切,7.2
剪切,7.2
剪切,7.2
剪切,7.2
剪切,7.2
图片 仿射,7.3
图片 仿射变换,7.3
图片 仿射变换,7.3
图片 仿射变换,7.3
图片 仿射变换,7.3
图片 仿射变换,7.3
仿射变换,7.3
仿射变换,7.3
仿射变换,7.3
仿射变换,7.3
仿射,7.3
照片 仿射,7.3
仿射,7.3
仿射,7.3
仿射,7.3
仿射,7.3
去 阴影,7.4
除去 阴影,7.4
去 阴影 部分,7.4
去除 阴影 部分,7.4
除去 阴影 部分,7.4
修正 阴影 部分,7.4
图片 去 阴影,7.4
照片 去 阴影,7.4
傅里叶 变换,7.5
进行 傅里叶 变换,7.5
对 图片 进行 傅里叶 变换,7.5
图片 傅里叶 变换,7.5
做 傅里叶 变换,7.5
做 变换 傅里叶,7.5
对 图片 做 傅里叶 变换,7.5
照片 傅里叶 变换,7.5
做 傅里叶 变换,7.5
傅里叶 变换,7.5
进行 高 通滤波,7.6
高 通滤波,7.6
进行 高 通滤波 变换,7.6
高 通滤波 变换,7.6
对 图片 进行 高 通滤波,7.6
对 图片 高 通滤波,7.6
对 图片 进行 高 通滤波 变换,7.6
对 图片 高 通滤波 变换,7.6
进行 低 通滤波,7.7
低 通滤波,7.7
进行 低 通滤波 变换,7.7
低 通滤波 变换,7.7
对 图片 进行 低 通滤波,7.7
对 图片 低 通滤波,7.7
对 图片 进行 低 通滤波 变换,7.7
对 图片 低 通滤波 变换,7.7
基于 灰度 阈值 的 图片 分割,7.9
基于 灰度 的 图片 分割,7.9
基于 的 图片 分割,7.9
灰度 阈值 的 图片 分割,7.9
灰度 阈值 的 分割,7.9
基于 灰度 的 分割,7.9
灰度 的 分割,7.9
图片 基于 灰度 阈值 的 图片 分割,7.9
图片 基于 灰度 的 图片 分割,7.9
图片 基于 的 图片 分割,7.9
图片 灰度 阈值 的 图片 分割,7.9
图片 灰度 阈值 的 分割,7.9
图片 基于 灰度 的 分割,7.9
图片 灰度 的 分割,7.9
基于 灰度 阈值 进行 区域 划分,7.9
基于 灰度 阈值 进行 区域 划分,7.9
基于 灰度 阈值 进行 区域 划分,7.9
基于 区域 增长 的 图片 分割,11.0
区域 增长 的 图片 分割,11.0
基于 区域 增长 的 分割,11.0
区域 增长 的 分割,11.0
基于 区域 增长 分割,11.0
区域 增长 分割,11.0
区域 增长,11.0
对 图像 进行 区域 增长 分割,11.0
图像 进行 区域 增长 分割,11.0
图像 区域 增长 分割,11.0
基于 区域 生长 的 图片 分割,11.0
区域 生长 的 图片 分割,11.0
基于 区域 生长 的 分割,11.0
区域 生长 的 分割,11.0
基于 区域 生长 分割,11.0
区域 生长 分割,11.0
区域 生长,11.0
对 图像 进行 区域 生长 分割,11.0
图像 进行 区域 生长 分割,11.0
图像 区域 生长 分割,11.0
基于 分裂 合并 的 图片 分割,12.0
分裂 合并 的 图片 分割,12.0
基于 分裂 合并 的 分割,12.0
分裂 合并 的 分割,12.0
基于 分裂 合并 分割,12.0
分裂 合并 分割,12.0
分裂 合并,12.0
对 图像 进行 分裂 合并 分割,12.0
图像 进行 分裂 合并 分割,12.0
图像 分裂 合并 分割,12.0
